danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_uri,artist,track_uri,track_name,artist_genres
0.774,0.69,2,-6.041,0,0.0634,0.111,1.49e-05,0.0917,0.55,129.962,spotify:artist:4oYZcPoj3q3DneXomtQBzg,Merkules,spotify:track:1VXnyPV4102zixXIihrtqd,Bodies,"['bc underground hip hop', 'canadian hip hop']"
0.483,0.921,0,-4.396,1,0.0579,0.000171,0.0252,0.139,0.557,165.032,spotify:artist:0spHbv2fw49lDMkbOAdaqX,WWE,spotify:track:7t2BPTiYV7l0PXTlKWcEPF,Rise From The Ashes (Ember Moon),['wrestling']
0.731,0.595,6,-9.304,1,0.199,0.000643,0.0,0.0701,0.712,92.039,spotify:artist:0IVcLMMbm05VIjnzPkGCyp,J Dilla,spotify:track:5jvPNsLUBKyR6Gvmzq7HXe,Game Over (Ric Maye Remix),"['alternative hip hop', 'detroit hip hop', 'hip hop']"
0.851,0.326,0,-15.06,1,0.0421,0.73,0.0288,0.135,0.581,119.987,spotify:artist:6pNgnvzBa6Bthsv8SrZJYl,初音ミク,spotify:track:5KXJIyKXWt5hvEWEwdimgE,あの頃のやさしさ,['vocaloid']
0.907,0.356,8,-9.593,0,0.255,0.717,5.83e-05,0.111,0.453,86.983,spotify:artist:6pNgnvzBa6Bthsv8SrZJYl,初音ミク,spotify:track:7unlb2wnu0oyZ0eAsJ8WDQ,私の命と引き換えに,['vocaloid']
0.61,0.64,2,-9.416,0,0.0536,0.0356,0.388,0.0803,0.388,122.935,spotify:artist:0Ye4nfYAA91T1X56gnlXAA,Mako,spotify:track:4hZys9awWLo6Fc3N8dL8K7,Roller Coaster (Jan Blomqvist Remix),"['edm', 'electro house', 'electropop', 'pop dance', 'pop edm', 'progressive electro house', 'tropical house']"
0.603,0.708,7,-6.846,0,0.0962,0.0176,9.47e-05,0.225,0.495,135.127,spotify:artist:46HzS7yz0c9udVwtbHk1sx,Cochise,spotify:track:1oMe0OMwXstPawOqR6drNV,Usopp,"['meme rap', 'vapor trap']"
0.35,0.0308,5,-30.265,1,0.0304,0.992,0.873,0.0998,0.132,105.971,spotify:artist:7t8PD6GvlbqByM0g7ysSHH,Jef Martens,spotify:track:5CMV79VrT9PxQRwdQr2EW0,Homeland,['neo-classical']
0.321,0.317,4,-5.682,1,0.0362,0.678,0.0,0.0921,0.379,87.061,spotify:artist:7kwEvDE8e7EBGKh5bLczqQ,Anthem Lights,spotify:track:0jjE2mLWKrerOge5v8HAg2,Doo-Wop Medley: In the Still of the Night / Earth Angel,"['ccm', 'christian alternative rock', 'christian music', 'viral pop']"
0.463,0.483,0,-8.664,1,0.0561,0.738,0.0,0.31,0.484,94.336,spotify:artist:0EodhzA6yW1bIdD5B4tcmJ,Bobby Darin,spotify:track:77TeLeJsfsDIZYV2tqKuwM,"That's How It Went, All Right","['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly', 'soul', 'swing', 'vocal jazz']"
