artist_uri,artist,track_uri,track_name,track_url,popularity
spotify:artist:0nQt0sivKt7x5EE1n6nHKt,ミライアカリ,spotify:track:3HDpLLHt2CHmNwIv6HhGlp,ILLUMINATE,https://open.spotify.com/track/3HDpLLHt2CHmNwIv6HhGlp,25
spotify:artist:3m4AfwNuRyxYnSTznPAjoJ,Enka,spotify:track:35BkmkZEuc9BBPKtwZFnZJ,Livets Mörka Korridor,https://open.spotify.com/track/35BkmkZEuc9BBPKtwZFnZJ,13
spotify:artist:7BoQ4zuvWoL2MQ1hvHRiaz,Kama,spotify:track:7mxhNNuu8thQFrlkbZ3Qgd,Дурак,https://open.spotify.com/track/7mxhNNuu8thQFrlkbZ3Qgd,19
spotify:artist:32guYZQtWnj7Lx3kjqdxuT,SLAACEE,spotify:track:3tm1rNQJMlbiWChzfdleVx,Blue Shoes,https://open.spotify.com/track/3tm1rNQJMlbiWChzfdleVx,16
spotify:artist:6psUmqjcEgvIGxSqhVIHXt,Sammy33,spotify:track:7I3KaheHV5fcG1va3CtKiv,TIME TO SPIT SOME GAME ON THE LADIES,https://open.spotify.com/track/7I3KaheHV5fcG1va3CtKiv,11
spotify:artist:6psUmqjcEgvIGxSqhVIHXt,Sammy33,spotify:track:4csh43aU0y08CQJu9ZK4jh,toe tags,https://open.spotify.com/track/4csh43aU0y08CQJu9ZK4jh,11
spotify:artist:4ItzpHZ9P9ckJGLNYUxrvc,Denis Impulsywni,spotify:track:6VsL1NPjLudz2wDjRq7qUf,Kocham Ciebie Tak,https://open.spotify.com/track/6VsL1NPjLudz2wDjRq7qUf,30
spotify:artist:4yW3SIJL1WcCLV8rgVJUAj,Бригадный подряд,spotify:track:28Bu8x0oST8HR8MuEGWqBF,Так сбываются мечты,https://open.spotify.com/track/28Bu8x0oST8HR8MuEGWqBF,34
spotify:artist:2Fv56WRp0XqJJgQolFwq4A,Francisco Hope,spotify:track:2jesZAmkCfGGoFCnGOBngJ,Into the Black Labyrinth,https://open.spotify.com/track/2jesZAmkCfGGoFCnGOBngJ,14
spotify:artist:3Luw1r5Ylg2goPg4qXKdkg,LuvRodriquez,spotify:track:3AHh5ksgDsAKIDubPPMl2l,Dope Game( No Ring ),https://open.spotify.com/track/3AHh5ksgDsAKIDubPPMl2l,11
spotify:artist:3Luw1r5Ylg2goPg4qXKdkg,LuvRodriquez,spotify:track:0dJYSYfcNutCJDzXqZIIU4,Dopeboy,https://open.spotify.com/track/0dJYSYfcNutCJDzXqZIIU4,11
spotify:artist:3Luw1r5Ylg2goPg4qXKdkg,LuvRodriquez,spotify:track:5awtVhQZcaA0v8nKhZSPYB,Dreams To Nightmares,https://open.spotify.com/track/5awtVhQZcaA0v8nKhZSPYB,11
spotify:artist:3Luw1r5Ylg2goPg4qXKdkg,LuvRodriquez,spotify:track:5I5rQYgtfOpr2WgaJFQnHk,Leaning of Styrofoam,https://open.spotify.com/track/5I5rQYgtfOpr2WgaJFQnHk,11
spotify:artist:3Luw1r5Ylg2goPg4qXKdkg,LuvRodriquez,spotify:track:5sMEvSrEaGgzxLOkLZ8b2g,Notice,https://open.spotify.com/track/5sMEvSrEaGgzxLOkLZ8b2g,11
spotify:artist:3Luw1r5Ylg2goPg4qXKdkg,LuvRodriquez,spotify:track:0sA9Hk6t1QNcqJNQtV0Wu6,Pour a 4,https://open.spotify.com/track/0sA9Hk6t1QNcqJNQtV0Wu6,11
spotify:artist:3Luw1r5Ylg2goPg4qXKdkg,LuvRodriquez,spotify:track:6Hl4tA7guuiax3PJa09ygb,Standing In The Rain,https://open.spotify.com/track/6Hl4tA7guuiax3PJa09ygb,11
spotify:artist:3Luw1r5Ylg2goPg4qXKdkg,LuvRodriquez,spotify:track:2O1FK8AqC4ed4lqEaEaacR,Valentines,https://open.spotify.com/track/2O1FK8AqC4ed4lqEaEaacR,11
spotify:artist:3Luw1r5Ylg2goPg4qXKdkg,LuvRodriquez,spotify:track:1iL0WIcmGCLRyhibvlPo0T,War Slide,https://open.spotify.com/track/1iL0WIcmGCLRyhibvlPo0T,11
spotify:artist:3Luw1r5Ylg2goPg4qXKdkg,LuvRodriquez,spotify:track:7CLcrdR9QOwQ7T7YdP7f8X,Warfare,https://open.spotify.com/track/7CLcrdR9QOwQ7T7YdP7f8X,11
spotify:artist:68MzdZEcqsklRZH1tttYk8,June Jones,spotify:track:6Rr9RUWnuPgODOpfi7fMiG,Home,https://open.spotify.com/track/6Rr9RUWnuPgODOpfi7fMiG,18
spotify:artist:2m3H3Dr0tGC1Fdmq4AV3iX,Grace Aimi,spotify:track:4w4kWyG2bylio9717rGccy,Open,https://open.spotify.com/track/4w4kWyG2bylio9717rGccy,26
spotify:artist:4pQcWzOMSmmz5DK6TqO2FL,Blxckie,spotify:track:6TxcQ5hR17iyeM1ZrLYBqF,Stripes,https://open.spotify.com/track/6TxcQ5hR17iyeM1ZrLYBqF,34
spotify:artist:3BL1s5UAxSPUJh3QZh3IRD,Takr,spotify:track:1YP6jolH4m6NuGjsSnBjYz,Vai Desejar Não Estar Vivo,https://open.spotify.com/track/1YP6jolH4m6NuGjsSnBjYz,48
spotify:artist:0s0FEDxbozOkwHsFyARjZJ,Blakk Habit,spotify:track:0VFuj0J4sjSqP0fDeck4D8,Solid Plan,https://open.spotify.com/track/0VFuj0J4sjSqP0fDeck4D8,22
spotify:artist:2lYOd0IUkR3bzbX1PCjJU8,Young Sunny Boy,spotify:track:5JB0oiI7rPCTUQkzECRhsi,BIG SUNNY,https://open.spotify.com/track/5JB0oiI7rPCTUQkzECRhsi,9
spotify:artist:3Y2UFS2qa5dYTZ0CRKsPZ7,Bomel,spotify:track:6Jq7eR80I7z5GWavORDwb5,Work For Love,https://open.spotify.com/track/6Jq7eR80I7z5GWavORDwb5,32
spotify:artist:71sGrXKR7IIsywC4YQf0Ye,Joshua Boyd,spotify:track:6GNqVV6PE9VVVh4WhTkDTs,Inverted Realities,https://open.spotify.com/track/6GNqVV6PE9VVVh4WhTkDTs,9
spotify:artist:1XUJ4bS7sEaPb29R4LzY18,Nicolai Dunger,spotify:track:1mnUN5scbNmI8fZtScY8dx,Line 4,https://open.spotify.com/track/1mnUN5scbNmI8fZtScY8dx,29
