artist_uri,artist,track_uri,track_name
spotify:artist:27w1NoOLMX7tJMYqcetPyG,VIC MENSA,spotify:track:0YJeiJqLS6rRJYHnIKwS6B,"SHELTER ft Wyclef Jean, ft Chance The Rapper)"
spotify:artist:5Vuvs6Py2JRU7WiFDVsI7J,Lucky Daye,spotify:track:0lruAPwhxreBwk78gzK96P,On Read with Tiana Major9
spotify:artist:3Y3xIwWyq5wnNHPp5gPjOW,Kenny Loggins,spotify:track:6f6reGSXTjmDhmkn95N82Y,The Great Adventure
spotify:artist:3SEJQy90Vgg1aSnZ9b4AU9,Krizz Kaliko,spotify:track:7owigkP4N5KVCdAQjwQCPf,Run It Back
spotify:artist:79hrYiudVcFyyxyJW0ipTy,The Paper Kites,spotify:track:6qRIH2KDx2NW81J2PR5Lke,Walk Above the City (feat. MARO)
spotify:artist:58oPVy7oihAEXE0Ott6JOf,Eve,spotify:track:6QX5xybvl9Gk750M5Mm4qe,Heikousen
spotify:artist:63XBtGSEZINSyXylZxEUbv,Victoria Monét,spotify:track:0iDuW211AjTsYDPsLxyqX4,F.U.C.K.
spotify:artist:2kCO8LXN1usaOPL3iEE28I,Tai Verdes,spotify:track:414ffw6iwJgQqPmIu3Kg9d,BAD BAD News
spotify:artist:7EekKnlf2HwNaLLpL9Cpgy,Matt Stell,spotify:track:4wrKruoaRzt3TtdzJ9uR0F,That Ain't Me No More
spotify:artist:0eecdvMrqBftK0M1VKhaF4,CNCO,spotify:track:3N5fOK9PQuUu9uDtZ8BpBR,Solo Importas Tú
spotify:artist:22hWz22JAmIhIEp0u1X01L,DUSTY LOCANE,spotify:track:1Emg2PWprZxWACEgw3Rn0J,RUMBLE
spotify:artist:0NGAZxHanS9e0iNHpR8f2W,Alok,spotify:track:63bWXWGcWnRQvdS8bJWdkB,Love Again (feat. Alida)
spotify:artist:44vREmJC0OlVZjZaGLqVEd,Morray,spotify:track:03xWAvfTnVSZFhSkjQNiqR,Kingdom
spotify:artist:6AyATGg7mDgBlZ4N5uNog0,SYML,spotify:track:6D926nR83tnA51NIEa4CIX,STAY CLOSE
spotify:artist:5zUSfxfP1NETZiaWt0Ui0a,Casiio,spotify:track:3mUOqcCYXHID9fdLnqdWan,Emura
spotify:artist:4WN5naL3ofxrVBgFpguzKo,Rudimental,spotify:track:1hwaRnGPZyZUCVWuteEpUL,"Be the One (feat. MORGAN, Digga D, TIKE & Keeya Keys) [Dub]"
spotify:artist:4SCWiQbJCMTHK737aNUqBJ,Little Symphony,spotify:track:4x2V2DCVKF0O2fw5rDfHWL,Relevate
spotify:artist:1dXyyDButMVteLKOOVqz6Z,Eduardo Luzquiños,spotify:track:7vF6rBWicwDJHwRVeqpfUD,Needed Me TikTok (Remix)
spotify:artist:1bs7HoMkSyQwcobCpE9KpN,The Mamas & The Papas,spotify:track:6xptYIuwEVMKHeS3lSsvQV,"Words Of Love (Live On The Ed Sullivan Show, December 11, 1966)"
spotify:artist:4nZmMrwH6LxHnCzQv4IFUE,BIG30,spotify:track:5aT7TSBM2cQOWzMj4KqjLz,375 #FreeLilHank
spotify:artist:4nZmMrwH6LxHnCzQv4IFUE,BIG30,spotify:track:420htygt5PXB2AGVCkblnO,EBGK
spotify:artist:4nZmMrwH6LxHnCzQv4IFUE,BIG30,spotify:track:2TJZDBL7BDLCpePkx5SsR2,Perc Talk
spotify:artist:0gg11prPP6OqtUvBcKnPpq,Rylo Rodriguez,spotify:track:5gXp3RbGtYHiXXzMKdRWsl,Funeral Ashes
spotify:artist:3JFsVIxOn7STeilPICkkB2,Lamb of God,spotify:track:50P11pPE69u785BEvcCG9o,Ghost Shaped People
spotify:artist:0fauHpmSHwodVYIjTqOGHz,Yiruma,spotify:track:3XCtS4ipfjCVnoktO6n3l2,Kiss The Rain (Orchestra Version)
spotify:artist:6y7frW1RUq3XBBXbYowVpk,Chandler Moore,spotify:track:6xUONuZWu1EZfjxUu5FuxD,King of Kings
spotify:artist:3FLUBwpAnaIlIKeaBfsxFe,Kito,spotify:track:2m3RjRXib3un5AEh08k8Fe,Recap (with VanJess & Channel Tres)
spotify:artist:73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,spotify:track:3PMpFfU2bGnhwotprL9ylW,Get in Trouble (So What) (Timmy Trumpet Remix)
spotify:artist:2gGtD7OGXbNZAY3oCZvZqA,Rob Vicious,spotify:track:7JpEWPbqSPIQPgIzJUTLgJ,Back 2 Back
spotify:artist:2gGtD7OGXbNZAY3oCZvZqA,Rob Vicious,spotify:track:6udas0QPeYMlFiHnQF2wZJ,Back In My Bag
spotify:artist:2wC90WSKQd0BvdxJZ0mObr,El Komander,spotify:track:0st8D46LTWtpUY00DesqXd,Doscientas Rosas (En Vivo)
spotify:artist:4m6ubhNsdwF4psNf3R8kwR,KHEA,spotify:track:0TaF4Nl8YKT0H0D2bb2M8B,tu msj 3
spotify:artist:0PrhwIWbqYFYyY2ZrkIWgI,Adriel Favela,spotify:track:2a46KLSUKybW2RX5GKNcZQ,Eres
spotify:artist:6cd3XfCAc3e596RQW8P94H,Rustage,spotify:track:6TRb9uWuFKBPSlt4hKsgsO,Walking with the Dead (Jujutsu Kaisen Rap) [feat. Richie Branson]
spotify:artist:436sYg6CZhNefQJogaXeK0,Camille Saint-Saëns,spotify:track:4gnCutL4o7Is3ykZAPOdHC,"Saint-Saëns: 'Cyprès' from Cyprès et lauriers in D Minor, Op. 156"
spotify:artist:0wcen0V8FgQu6xYupnZMbB,softy,spotify:track:7wIM7HsOihKr3rei97GPdv,Ocean Depths
spotify:artist:2ZavqCJe7uqkRpISes0NFi,Iamsu!,spotify:track:1k7du1Jwzjfj85jcTR93et,510
spotify:artist:2bdcBjvuI9worc472GbeU0,Samuel Kim,spotify:track:1KVa71AXLhxrWNT4dFN2iF,"Gurenge (from ""Demon Slayer"") (Epic Version)"
spotify:artist:2bdcBjvuI9worc472GbeU0,Samuel Kim,spotify:track:7sc48UkOslbSSRO1b2jZDc,"Reiner Transformation Theme (from ""Attack on Titan Season 4"") [Ashes on The Fire]"
spotify:artist:7LWdcPFBFcRaamGjIJbPV7,Laffey,spotify:track:6Y1wOlDmunzqnZ9XGjHBxP,When We Were Kids
spotify:artist:319yZVtYM9MBGqmSQnMyY6,Carole King,spotify:track:0mgRHRnVctNI7KhXSnoRMn,Out In the Cold
spotify:artist:0EyZDKtc41e4A3a3v69MxD,Muscadine Bloodline,spotify:track:4nVq9TsD63WqfEtwVVvIdc,See You Tomorrow (Reimagined)
spotify:artist:0ZrpamOxcZybMHGg1AYtHP,Robin Thicke,spotify:track:0YWCKvv4iI0zLe8X0HIPA4,Lucky Star
spotify:artist:0spHbv2fw49lDMkbOAdaqX,WWE,spotify:track:6Ujt9tcUu4vJGYZneseeZY,Blue Collar Solid (Otis)
spotify:artist:4oYZcPoj3q3DneXomtQBzg,Merkules,spotify:track:1e2j0MELxXagOh4D5VqDLs,No L's
spotify:artist:0Ty63ceoRnnJKVEYP0VQpk,Sting,spotify:track:7ht1oUhOpJhOfZBKsUPZPF,Fields of Gold
spotify:artist:1UdQqCUR7RwB9YYJONwbdM,TRAPT,spotify:track:4KWj0oPoRDDHUgLTB1H6yq,Turn Me Around Again (Acoustic)
spotify:artist:0HgICyWHmS6rnl8xWEd0x6,Banda Los Sebastianes,spotify:track:6b7E8lOmYascIQBMcNmFtB,Mi Trokita Cumbia
spotify:artist:7352aRY2mqSxBZwzUb6LmA,Bow Wow,spotify:track:7yTzL1LM3Ec3DEbMfJHvuP,My Pain
spotify:artist:0n6sKrG0xKAf8xmdqeNGke,Los Legendarios,spotify:track:56KhDgM8O8rHxBI7CIEGCw,Fiel
spotify:artist:0n6sKrG0xKAf8xmdqeNGke,Los Legendarios,spotify:track:1Xsr0gEVjs8xZPQDVFpiam,Mari Mari
spotify:artist:4NsVVzuaZGk4aya8Pyacew,Adam Doleac,spotify:track:3pF8tbhwVEqpef7RJkFUtK,Another (Wedding Version)
spotify:artist:1iH2Yx2Ea0kZ0zKI3Nlk30,Goody Grace,spotify:track:6mX89BYM6O0IkHF9FiKzVh,Grape Swisher
spotify:artist:2AQjGvtT0pFYfxR3neFcvz,Jordin Sparks,spotify:track:7gpllWdpmFoSnmuUPR996P,You Still Think Of Me
spotify:artist:1BhWF9W2PngtPSyobKg0rP,Pia Mia,spotify:track:1h8nUjQYI4ZwXZI5Iu5Fq7,What a Girl Wants
spotify:artist:77DAFfvm3O9zT5dIoG0eIO,Kyla,spotify:track:4ygTjGQWFPVoKh3mcPSghq,Be Somebody
spotify:artist:4n9z9czt00gzw36hdoVU3G,Kainbeats,spotify:track:5ZMNAK4ZOlnCD4cg5QbUhJ,Shrouded Veil
spotify:artist:7t8PD6GvlbqByM0g7ysSHH,Jef Martens,spotify:track:236BkiP1cmvBqjowBQQvul,Prologue
